model,input,date,mape,rmse,t+1,t+2,t+3,t+4,t+5,t+6,t+7,t+8,t+9,t+10,t+11,t+12
XGBoost_1,단변량,10y,31.38480538,374.2289896,651.9389648,667.0033569,671.329895,665.1670532,665.4240723,655.0756836,665.6327515,667.9978638,668.9718628,669.0141602,667.5375977,667.4847412
XGBoost_1,공급_small,3m,21.05483043,261.4972313,673.8059082,711.31604,712.4726563,769.227417,797.437439,799.1905518,802.690918,802.1345825,809.7428589,797.1095581,800.3677368,798.4708862
XGBoost_1,공급_small,1y,23.65161644,291.6361861,648.2016602,684.1787109,704.5270386,739.0581055,742.3491821,736.6013184,719.8135986,722.9586182,738.0567017,719.1924438,733.2029419,734.5244751
XGBoost_1,공급_small,3y,26.24796031,321.5555379,648.1174927,656.1970825,674.6658325,672.1247559,683.1298828,660.362793,652.4702759,660.2426147,669.0767212,665.5491333,666.0204468,670.3356323
XGBoost_1,공급_small,5y,27.24383007,332.2242248,653.1431274,669.909668,682.0936279,685.2163696,680.0888062,679.3121338,681.9007568,675.510376,673.4780273,680.000061,681.3232422,681.8720093
XGBoost_1,공급_small,10y,27.93713582,339.7241486,655.574646,678.5128784,675.2877197,677.8516235,677.265625,672.8544922,670.9438477,671.7634888,674.1997681,669.9190674,668.7352295,668.3421021
XGBoost_1,공급_large,3m,27.49877866,334.7173399,671.6594849,688.0643921,683.901001,738.6248169,745.5024414,736.0290527,735.5008545,741.4868774,745.2487793,755.6395264,748.907959,750.2004395
XGBoost_1,공급_large,1y,27.78173079,338.3707188,665.2228394,669.8618164,697.1208496,717.7913208,663.7902222,667.8027954,678.0200195,683.0715942,688.4266968,706.9108276,684.8171387,677.5905151
XGBoost_1,공급_large,3y,28.1381745,341.4339557,645.3014526,665.7785034,664.1967773,675.0823364,672.717041,684.2774048,683.5836792,689.8448486,678.5576172,683.9429932,690.2344971,656.3226929
XGBoost_1,공급_large,5y,28.44154511,344.2359709,667.6035156,659.9031982,658.8971558,666.6469116,659.8206177,681.1641846,686.8175049,687.0717773,673.2623291,663.3284912,682.0633545,668.980835
XGBoost_1,공급_large,10y,28.64852557,346.0632545,655.6274414,661.6568604,664.3306885,671.5599976,659.9289551,675.8403931,690.8374023,685.192627,680.0562744,676.4442749,688.973938,690.5213013
XGBoost_1,전부 다,3m,28.50271373,343.8523108,631.7099609,654.9949341,675.5013428,739.4520264,720.1030273,719.56073,719.6347046,738.3931885,738.9990845,739.0471802,738.8513184,733.5549927
XGBoost_1,전부 다,1y,28.50746992,344.5236641,656.1587524,697.9161987,726.109436,712.9521484,685.798584,694.1348877,701.2675171,687.3435059,685.9135742,688.642334,684.9553833,684.5617676
XGBoost_1,전부 다,3y,28.66750266,346.0587683,642.548584,669.0338135,683.7766724,682.9732056,679.00354,682.6859741,688.899231,690.4334106,688.7009888,651.2387695,662.9171753,664.8903198
XGBoost_1,전부 다,5y,28.80626836,347.2742123,624.0247803,664.682373,681.4121704,681.5580444,680.1693115,677.6062622,677.6118774,679.7434082,677.1881104,679.5943604,684.5551758,683.3934937
XGBoost_1,전부 다,10y,28.81946648,347.3275772,664.6209106,683.6828003,672.975769,687.7484741,684.0994873,699.0772095,696.3296509,701.4370117,696.7462158,698.2116089,701.836731,692.3533936
TabNet_0,공급_small,3m,39.82785592,543.650425,492.9511,506.6355,259.02414,591.8876,350.5873,404.539,166.33322,220.48637,1099.6771,1026.5369,1132.4586,1047.0994
TabNet_1,공급_small,1y,63.29040114,724.8326119,456.7588,593.2141,477.3814,528.3645,190.62387,270.5678,274.27106,266.06042,313.13373,215.18832,250.33133,182.1037
TabNet_0,공급_small,3y,71.48181705,776.9147471,840.64813,250.94576,194.79541,298.02908,232.94565,252.73306,164.73479,207.45831,242.18129,164.74832,337.42395,186.8935
TabNet_0,공급_small,5y,73.94374784,757.5115293,161.57439,202.51599,299.31723,105.72002,248.93591,227.52995,395.71277,232.78418,377.3482,176.76157,299.58063,381.1012
TabNet_0,공급_small,10y,71.55104487,716.3830295,168.32365,152.69482,186.75742,121.86432,259.8864,312.18536,363.3938,522.6549,255.47594,354.477,486.45123,324.17358
TabNet_0,공급_large,3m,26.9027255,362.4996368,741.9061,687.4512,743.94214,284.0991,510.56827,711.80945,1082.7588,872.7621,1162.6797,703.121,796.0169,457.58975
TabNet_0,공급_large,1y,26.47279084,307.8590393,580.01166,689.57825,269.89438,864.11914,692.3759,1103.6086,717.45856,742.52576,811.7045,1158.4253,680.20294,725.26624
TabNet_0,공급_large,3y,32.66606823,441.217656,758.8243,403.56232,684.98004,545.9078,905.1475,728.629,923.7567,1178.4443,285.21188,358.33118,1089.666,252.717
TabNet_0,공급_large,5y,29.0517255,390.9757636,684.1841,391.14514,458.13464,902.0405,801.9942,1018.55035,744.66223,457.69855,242.55913,1062.4211,901.12823,872.7463
TabNet_0,공급_large,10y,26.9622728,339.4421027,355.4922,528.1274,765.8383,626.60846,934.32556,613.0359,804.2975,1228.8069,818.5,400.60596,733.6909,1066.5076
TabNet_0,전부 다,3m,15.45354555,234.5041284,630.70215,658.0276,810.37024,886.9163,840.1974,823.5735,1038.7958,1055.8892,964.7766,1120.3848,1034.1229,445.83444
TabNet_0,전부 다,1y,35.00755231,454.1522388,735.4691,445.89047,691.2364,794.7018,826.9009,560.95905,503.52762,542.61975,503.2851,318.34213,1314.6589,796.42175
TabNet_0,전부 다,3y,34.32231767,460.6380544,444.64905,751.7709,718.08746,735.77527,466.6946,651.6438,1066.0967,528.66846,363.68555,436.80347,974.9901,476.84485
TabNet_0,전부 다,5y,30.55961335,433.0239632,765.35864,605.56714,622.34393,726.73535,787.63245,433.81894,476.59702,624.0167,459.3734,1073.4237,500.13663,1024.2976
TabNet_0,전부 다,10y,40.74048331,480.8840255,691.3992,451.69025,583.77484,536.0207,900.12964,528.37976,502.5126,536.7455,357.31573,750.0143,524.85144,520.16034
TabNet_2,단변량,3m,16.95390987,207.6215265,542.0388184,576.6346436,603.9416504,655.470459,700.8796387,821.9060059,958.3945313,1041.414185,1084.298462,1032.77124,1027.275146,969.0952148
TabNet_2,단변량,1y,56.16586005,577.1741644,320.5382996,313.6898804,334.3417969,367.1015015,376.6016541,368.739563,445.4481506,599.3012695,685.5134888,536.9979248,476.3765259,432.7366028
TabNet_2,단변량,3y,68.67207438,710.5961536,235.434967,290.0595703,297.217804,341.5300293,315.9659424,317.9065247,317.4441528,316.5242004,316.4028015,313.9799805,309.6074524,304.5579529
TabNet_2,단변량,5y,65.37060949,678.6327521,290.6723328,295.9327393,299.2686157,307.554657,312.2811584,321.4562378,321.8644409,327.2617798,323.624939,402.5181885,454.7440186,418.4028015
TabNet_2,단변량,10y,62.78383571,672.0474405,229.1889191,494.9949036,417.4457703,327.1321716,341.1531067,229.3061218,357.6466064,358.907959,361.8239136,378.8123779,401.9060059,396.4559326
TabNet_2,공급_small,3m,47.64927775,490.5489502,284.9779358,330.9864502,359.2139282,373.5741882,392.9475708,579.6234131,706.4705811,561.7197266,568.298584,852.9490356,583.2394409,1304.202881
TabNet_2,공급_small,1y,56.50956518,595.1763837,349.6628113,297.314209,300.7268677,305.2531738,294.773468,318.6223755,336.4732361,310.1122437,334.1360474,311.565033,399.7276001,488.980896
TabNet_2,공급_small,3y,55.09244685,587.0921946,459.8257446,503.0745239,496.9313965,488.8569031,447.5508728,453.1708984,445.5129395,452.7304382,467.4121704,463.1245117,421.0801392,418.1695862
TabNet_2,공급_small,5y,53.45831642,571.7905737,476.6305542,436.9389038,438.076416,410.3187866,437.7430115,443.2631531,471.0083923,488.8147278,531.1850586,651.1395874,705.5062866,557.0049438
TabNet_2,공급_small,10y,58.51703715,635.5195339,199.4528046,121.5910645,203.5858459,203.3666687,110.6553345,120.1034164,133.5541077,89.15139008,112.6534271,120.6908112,131.3690796,914.6224976
TabNet_2,공급_large,3m,57.47087616,620.8381404,356.6761169,417.1488037,282.7557983,411.7896118,411.909729,443.659729,472.9899292,837.9812012,797.3336792,432.5637207,439.9677429,447.5752563
TabNet_2,공급_large,1y,55.3105193,605.7782996,606.6965332,638.0825806,640.8336182,639.4213867,489.2976685,508.383606,477.3960571,467.5215454,471.443512,519.5553589,576.5957031,542.5690918
TabNet_2,공급_large,3y,56.58514113,614.0526947,187.1520996,187.0131531,375.5522766,375.8154297,373.8516235,373.793396,375.6119385,375.3446655,376.3529663,383.711792,371.8779297,367.932373
TabNet_2,공급_large,5y,57.43462233,620.8697967,339.4373779,322.9150391,362.4281616,350.2324829,341.2150269,348.682312,339.0623779,353.5600281,358.6114807,358.2792664,344.7164917,349.1097412
TabNet_2,공급_large,10y,57.00811298,613.2439582,291.7446899,326.6444397,293.634552,1809.628784,352.2250366,681.2996826,660.1515503,655.2966919,660.619873,658.0267334,681.2016602,670.1682129
TabNet_2,전부 다,3m,52.59376699,585.8315391,744.7699585,800.0013428,817.7936401,850.9846191,892.6051025,993.6292725,1098.569214,1088.144775,1142.03894,1172.751709,1185.019531,1184.504395
TabNet_2,전부 다,1y,52.15260793,578.1490227,352.2229614,359.8994446,425.0834656,434.7550049,452.6383667,518.6774292,563.0177002,654.2333984,681.2907104,672.5574951,690.4533691,527.7640381
TabNet_2,전부 다,3y,51.23401726,567.3862387,400.0778198,410.0235291,457.15271,495.2250977,519.0926514,571.0192871,634.2976074,730.067627,751.8521729,724.5224609,764.1317139,726.9078369
TabNet_2,전부 다,5y,51.18160437,565.928636,483.9744568,481.8684387,476.4358521,482.2569275,476.7859497,480.8856201,479.039978,484.1645508,477.0771179,475.942749,481.3433228,476.4902039
TabNet_2,전부 다,10y,52.65478998,580.5032002,226.0420532,247.0105591,281.3269653,190.5163422,231.2246399,231.7979736,269.6382141,288.8048706,290.3590698,290.9015808,291.9148865,295.3482056
