시행업체명,시공업체명,사업구분명,지역구분코드,지역상세구분코드,지역구분코드명,지역상세구분코드명,사업규모내용,사업구분명,총세대수,일반분양세대수,조합원세대수,임대보증세대수,분양가격,모집공고승인일자,분양개시일자
이지건설(주),"(주)라인건설,",주월동 이지 더원 아파트 3단지,05,0503,광주광역시,광주 남구,"최저 14 층 ~ 최고 15층, 2동",일반분양,121,115,0,0,7653768,20120316,
(주)한국토지신탁,"한신공영(주),",광주 마륵동 한신 휴플러스,05,0502,광주광역시,광주 서구,"최저 13 층 ~ 최고 15층, 5동",일반분양,238,238,0,0,7084708,20110621,
(주)호반리빙,"(주)호반건설,",광주 수완 3-2BL 호반베르디움,05,0506,광주광역시,광주 광산구,"최저 15 층 ~ 최고 15층, 9동",일반분양,442,434,0,0,6752824,20111207,
리베라종합건설(주),"아이누리건설산업(주),",봉명동 리베라 도시형생활주택 신축공사,06,0605,대전광역시,대전 유성구,"최저 -2 층 ~ 최고 15층, 1동",일반분양,338,254,0,0,6231887,20110830,
한국자산신탁(주),"풍림산업(주),",금강 엑슬루타워아파트,06,0606,대전광역시,대전 대덕구,"최저 36 층 ~ 최고 50층, 12동",일반분양,2384,2312,0,0,9400613,20110623,
계룡건설산업(주),"계룡건설산업(주),",학하지구138-1블럭 리슈빌 학의뜰아파트 신축공사,06,0605,대전광역시,대전 유성구,"최저 19 층 ~ 최고 25층, 10동",일반분양,705,704,0,0,8941052,20110613,20090313
지에스건설(주),"지에스건설(주),",대전대흥1구역 재개발사업 (대전대흥 자이),06,0601,대전광역시,대전 중구,"최저 14 층 ~ 최고 30층, 18동",재개발,1178,884,169,99,7410450,20130513,
(주)하나자산신탁,"디엘이앤씨(주),",남대전 e편한세상,06,0600,대전광역시,대전 동구,"최저 0 층 ~ 최고 0층, 11동",일반분양,716,713,0,0,6331389,20110620,
(주)호반토건,"(주)호반건설,",대전 도안 17-2블럭 호반베르디움아파트,06,0602,대전광역시,대전 서구,"최저 25 층 ~ 최고 25층, 11동",일반분양,973,957,0,0,8419920,20120920,
케이비부동산신탁(주),"계룡건설산업(주),",대전 도안지구 17-1블럭 계룡리슈빌,06,0602,대전광역시,대전 서구,"최저 26 층 ~ 최고 35층, 10동",일반분양,1252,1236,0,0,8433540,20130503,20111019
(주)하나자산신탁,"(주)호반건설,",대전 도안신도시 2블럭 호반베르디움,06,0605,대전광역시,대전 유성구,"최저 -2 층 ~ 최고 25층, 16동",일반분양,970,970,0,0,8969951,20110929,20111019
(주)금성백조주택,"(주)금성백조주택,",도안신도시 7블록 예미지 아파트,06,0605,대전광역시,대전 유성구,"최저 2 층 ~ 최고 25층, 15동",일반분양,1117,1102,0,0,8859214,20140501,20111018
한국자산신탁(주),"(주)한화건설,",대전 노은4지구 한화 꿈에그린 아파트 2BL,06,0605,대전광역시,대전 유성구,"최저 -1 층 ~ 최고 35층, 9동",일반분양,1010,998,0,0,8644134,20131122,
(주)아키너스건축사사무소,"(주)신일건업,",용인 보정동 신일유토빌 공동주택사업,07,0749,경기도,경기 용인시,"최저 24 층 ~ 최고 26층, 2동",일반분양,155,155,0,0,15164413,20110704,
케이비부동산신탁(주),"(주)대우건설,",시흥시 죽율동 시흥6차 푸르지오(2단지),07,0729,경기도,경기 시흥시,"최저 -2 층 ~ 최고 23층, 13동",일반분양,792,769,0,0,8453084,20130903,
(주)반도씨앤에스,"(주)반도건설,",김포한강 신도시 반도유보라,07,0715,경기도,경기 김포시,"최저 30 층 ~ 최고 30층, 13동",일반분양,1517,1498,0,0,9299364,20110504,20110504
(주)서해종합건설,"(주)서해종합건설,",용인 1차 서해그랑블,07,0749,경기도,경기 용인시,"최저 22 층 ~ 최고 22층, 5동",일반분양,239,236,0,0,9996170,20110816,
한국자산신탁(주),"코오롱글로벌(주),",평택 장안마을 코오롱하늘채,07,0750,경기도,경기 평택시,"최저 -1 층 ~ 최고 21층, 25동",일반분양,1984,1943,0,0,7876616,20120706,
아이랜드건설(주),"(주)대우건설,",한강신도시 푸르지오 (김포 한강신도시 푸르지오),07,0715,경기도,경기 김포시,"최저 15 층 ~ 최고 21층, 11동",일반분양,819,812,0,0,9306532,20130418,20110815
(주)에이치제이중공업,"(주)에이치제이중공업,",광명시 광육재건축 정비사업(광명 해모로이연아파트),07,0723,경기도,경기 광명시,"최저 8 층 ~ 최고 26층, 16동",재건축,1267,179,869,219,12715588,20110309,
효성중공업(주),"효성중공업(주),",평택 소사벌택지지구 B-4블럭,07,0750,경기도,경기 평택시,"최저 1 층 ~ 최고 15층, 22동",공공분양,1058,1058,0,0,8932709,20120712,
