파일,항목,기간,N,lag=3,lag=2,lag=1,lag=0,lag=-1,lag=-2,lag=-3,lag=-4,lag=-5,lag=-6,lag=-7,lag=-8,lag=-9,lag=-10,lag=-11,lag=-12,lag=-13,highest corr,best lag (highest corr)
수입물가지수,"철근및봉강(2015=100, 계약통화기준)",2011/07 ~ 2021/12,126,0.8035551709942867,0.7858471575104726,0.7413367057877519,0.6806429499540759,0.6204950027970304,0.5466886847888294,0.4775208527699404,0.3975229646721787,0.3135901878666677,0.2312594002609272,0.18215274515884583,0.13491157109474036,0.09135170239551958,0.051552619968427735,0.016160624136578882,-0.020451214515472414,-0.058118441812601646,0.8035551709942867,3
수입물가지수,"형강(2015=100, 계약통화기준)",2011/07 ~ 2021/12,126,0.7873451856869672,0.8071341005905426,0.8205588461068389,0.8144599905158411,0.7748629302492379,0.7318473371797612,0.6839456844651457,0.6316206065740143,0.5827919770304044,0.5304643341987433,0.47414853168837423,0.4230211833340324,0.3831756246043795,0.34211875634593,0.2978211052050056,0.25444154846309575,0.22340378651373352,0.8205588461068389,1
수입물가지수,"중후판(두께3mm이상)(2015=100, 계약통화기준)",2011/07 ~ 2021/12,126,0.8234242081529508,0.829519574303007,0.8190972967750633,0.8143186580088383,0.7931157464016592,0.753336625503851,0.7028488621093463,0.6576031236293818,0.6078204843779765,0.5617513217951379,0.5057745057837868,0.4507593324679588,0.4036275459536291,0.37313392494564585,0.3409736414897595,0.3065697842167426,0.2664662339875222,0.829519574303007,2
수입물가지수,"열연강판(2015=100, 계약통화기준)",2011/07 ~ 2021/12,126,0.8529293441609053,0.8890722841408496,0.9109271855488466,0.9139700195766298,0.8973121874003137,0.8652623673543203,0.8254423102075528,0.7722501400954247,0.7100581803678023,0.6375785108767033,0.5536617430618258,0.46544550883576585,0.3749712592703879,0.28148251841279814,0.18669544770626129,0.09257484093746783,0.014796257700532783,0.9139700195766298,0
수입물가지수,"철강관(2015=100, 계약통화기준)",2011/07 ~ 2021/12,126,0.7519318624270042,0.7295766960652752,0.6890064684111554,0.642469272004994,0.5835998026740284,0.5058485416769749,0.4236093064809539,0.3520726980501991,0.27438701320260017,0.1985895025784152,0.1452629639360149,0.09130253679524833,0.040683861974971265,0.004298406563096132,-0.029785448709089484,-0.06526849676781396,-0.09545506510523244,0.7519318624270042,3
수입물가지수,"냉간압연강재(2015=100, 계약통화기준)",2011/07 ~ 2021/12,126,0.6446906413248793,0.6288963502946969,0.5963800167387027,0.583453455483121,0.5469724684613574,0.5219809762893551,0.5021466994098956,0.4776105353899058,0.4496770153150908,0.451514250185892,0.44586128410498954,0.43484784039534025,0.42736573259840915,0.423124550670628,0.4215321446281577,0.41471735701419243,0.4057822840352254,0.6446906413248793,3
수입물가지수,"표면처리강재(2015=100, 계약통화기준)",2011/07 ~ 2021/12,126,0.8628252952348631,0.8779040825014356,0.867311453937977,0.8748646282984115,0.8576814071600769,0.8223741600771337,0.7872525868767086,0.7401503942268302,0.6836722102335816,0.6194607505068958,0.5529178105682779,0.4747241459340368,0.4032624945360256,0.3339885228845329,0.2701164325165867,0.19464568486173733,0.1245896961664587,0.8779040825014356,2
수출물가지수,"합금철 (2015=100, 계약통화기준)",2011/07 ~ 2021/12,126,0.3055714757421961,0.323944697638781,0.3397099422107534,0.3466164098729011,0.3334127895932671,0.31770543222945613,0.2996668225539485,0.27244182604597433,0.2298663227564035,0.18228250804586926,0.13185031446315187,0.08943632703992498,0.05064093874700135,0.011662838799848155,-0.02606951423636653,-0.05770306705859867,-0.08002000862415769,0.3466164098729011,0
수출물가지수,"조강 (2015=100, 계약통화기준)",2011/07 ~ 2021/12,126,0.7666014623292305,0.8171293401616684,0.863389982597337,0.8883779682060061,0.9203458606435935,0.9239558053063349,0.9150108904131797,0.9035800459585394,0.8721167409521025,0.8347732195128814,0.7624528419907974,0.6810617231944461,0.5915717525592261,0.4819157095310506,0.3735781981346678,0.2465097096934245,0.12890659498337728,0.9239558053063349,-2
수출물가지수,"철근및봉강 (2015=100, 계약통화기준)",2011/07 ~ 2021/12,126,0.8308624263647553,0.8351629290372299,0.8242306809512573,0.800694326853202,0.771621991624093,0.7237246023560756,0.6639853970162768,0.5978260917897886,0.5193095009791387,0.4365076783550573,0.35474131039104356,0.2712178129746638,0.1840047065147009,0.10917467383507372,0.03872038543626473,-0.0362509816585593,-0.09942347991956511,0.8351629290372299,2
수출물가지수,"형강 (2015=100, 계약통화기준)",2011/07 ~ 2021/12,126,0.8751519022781324,0.9077550185465414,0.926739533446353,0.9327921439062847,0.9104876269453585,0.8652366640944738,0.8160822089005015,0.7488335737605796,0.662412106026614,0.5562099929670984,0.4350076343421511,0.3033025302857153,0.17560735261173332,0.06026176460711136,-0.05214468027525667,-0.15698677113658424,-0.2297978890769993,0.9327921439062847,0
